,article_name,country,revision_id,article_quality,population
337,Katikkiro of Buganda,Uganda,774683767,Stub,44.1
338,Daudi Cwa II of Buganda,Uganda,774683907,Start,44.1
339,Ssuuna II of Buganda,Uganda,774684052,Start,44.1
340,Kamaanya of Buganda,Uganda,774684080,Start,44.1
341,Semakookiro of Buganda,Uganda,774684109,Start,44.1
342,Jjunju of Buganda,Uganda,774684124,Start,44.1
343,Kato Kintu,Uganda,774684195,Stub,44.1
344,Chwa I of Buganda,Uganda,774684228,Start,44.1
345,Kyabaggu of Buganda,Uganda,774830237,Start,44.1
346,Kiweewa of Buganda,Uganda,774831268,Start,44.1
347,Ismael Orot,Uganda,775522497,Stub,44.1
348,James Obita,Uganda,775995921,Stub,44.1
349,Janat Mukwaya,Uganda,776107670,Start,44.1
350,Besueri Kiwanuka Lusse Mulondo,Uganda,776344991,Start,44.1
351,Jeremiah Twa-Twa,Uganda,776491782,Start,44.1
352,Joyce Kakuramatsi Kikafunda,Uganda,777643576,Stub,44.1
353,Kania Obiga,Uganda,778265355,Stub,44.1
354,Apollo Kironde,Uganda,778598971,Stub,44.1
355,Kibirige Mayanja,Uganda,778840186,Start,44.1
356,Kintu Musoke,Uganda,779007768,Start,44.1
357,Jessica Alupo,Uganda,779397351,Start,44.1
358,Rebecca Amuge Otengo,Uganda,779397437,Start,44.1
359,Syda Bbumba,Uganda,779397532,Start,44.1
360,Alintuma Nsambu,Uganda,781605803,Stub,44.1
361,Esther Mbulakubuza Mbayo,Uganda,781789704,Start,44.1
362,Abdul Nadduli,Uganda,782460126,Stub,44.1
363,Moses Kizige,Uganda,782979760,Start,44.1
364,Maria Kiwanuka,Uganda,783449036,Start,44.1
365,Elijah Mushemeza,Uganda,784734768,Start,44.1
366,Michael Lulume Bayigga,Uganda,784768216,Start,44.1
367,Deo Rwabiita,Uganda,785038536,Stub,44.1
368,Daudi Ochieng,Uganda,785108122,Stub,44.1
369,Joy Kabatsi,Uganda,785339072,Start,44.1
370,Joshua Wanume Kibedi,Uganda,785862055,C,44.1
371,Kizza Besigye,Uganda,786081128,C,44.1
372,Apolo Kagwa,Uganda,786226893,C,44.1
373,Michael Kawalya Kagwa,Uganda,787306486,Stub,44.1
374,Abed Bwanika,Uganda,787410566,Start,44.1
375,Aggrey Awori,Uganda,787858057,C,44.1
376,Aggrey Bagiire,Uganda,787858062,Stub,44.1
377,Agnes Akiror,Uganda,787870163,Start,44.1
378,Namirembe Bitamazire,Uganda,788019797,Start,44.1
379,Amon Bazira,Uganda,788899061,Stub,44.1
380,Christopher Iga,Uganda,788972378,Stub,44.1
381,Nasser Sebaggala,Uganda,788972461,Start,44.1
382,Erias Lukwago,Uganda,788972566,Start,44.1
383,Template:KampalaMayors,Uganda,788972642,Stub,44.1
384,Beatrice Wabudeya,Uganda,789747515,Start,44.1
385,Jane Aceng,Uganda,789747629,C,44.1
386,Ruth Achieng,Uganda,789747664,Stub,44.1
387,Justine Ayebazibwe,Uganda,789748037,Stub,44.1
388,Jessica Eriyo,Uganda,789748269,Start,44.1
389,Mary Karooro Okurut,Uganda,789748670,Start,44.1
390,Adrian Tibaleka,Uganda,789748752,Stub,44.1
391,Nusura Tiperu,Uganda,789748782,Start,44.1
392,Florence Nakiwala Kiyingi,Uganda,789748978,Start,44.1
393,Ruth Nankabirwa,Uganda,789799593,Start,44.1
394,Justine Lumumba Kasule,Uganda,789799605,Start,44.1
395,Idah Nantaba,Uganda,789799744,C,44.1
396,Harriet Ntabazi,Uganda,789799847,Start,44.1
397,Florence Nebanda,Uganda,789799901,Start,44.1
398,Lukia Isanga Nakadama,Uganda,789799952,Start,44.1
399,Mariam Nalubega,Uganda,789799984,Start,44.1
400,Jenipher Namuyangu,Uganda,789800111,C,44.1
401,Sarah Kataike,Uganda,789800331,C,44.1
402,Caroline Amali Okao,Uganda,789800629,Start,44.1
403,Beatrice Rwakimari,Uganda,789803765,Stub,44.1
404,Mariam Naigaga,Uganda,790372580,C,44.1
405,Rose Akol,Uganda,790424964,Start,44.1
406,Amelia Kyambadde,Uganda,790428762,Start,44.1
407,Jehoash Mayanja Nkangi,Uganda,790837175,Start,44.1
408,Joash Mayanja Nkangi,Uganda,790993796,C,44.1
409,Moses Adome,Uganda,791007274,Stub,44.1
410,Paulson Luttamaguzi,Uganda,791007297,Stub,44.1
411,Charles Engola,Uganda,793154991,Start,44.1
412,Cerinah Nebanda,Uganda,793515881,Start,44.1
413,John Ssebaana Kizito,Uganda,793539141,Start,44.1
414,Persis Namuganza,Uganda,793628029,Start,44.1
415,Christine Amongin Aporu,Uganda,794194807,Start,44.1
416,Christine Ondoa,Uganda,794200311,Start,44.1
417,Concy Aciro,Uganda,795100048,Start,44.1
418,Peace Mutuuzo,Uganda,795181968,Start,44.1
419,Patrick Kayemba,Uganda,795404749,Stub,44.1
420,Alengot Oromait,Uganda,795458281,Start,44.1
421,Beti Kamya-Turwomwe,Uganda,796177970,C,44.1
422,Abdu Katuntu,Uganda,796406864,Stub,44.1
423,Loyce Biira Bwambale,Uganda,796684047,Start,44.1
424,Mike Kennedy Sebalu,Uganda,796694225,Stub,44.1
425,Miria Matembe,Uganda,796695675,Start,44.1
426,Kalema of Buganda,Uganda,796808819,Start,44.1
427,Maria Mutagamba,Uganda,796899099,Start,44.1
428,Sarah Achieng Opendi,Uganda,796991691,Start,44.1
429,Benedicto Kiwanuka,Uganda,797399615,Start,44.1
